Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,Jo Macsween,false,false,jomacsween,http://jomacsween.wpengine.com,PRD,jomacsween.wpengine.com,8.2,6.8.2,0.10526657,0.28622818,0.39149475,0.00003414,0.00105827,0,3,
everneu,Jumpstart Your Exit,false,false,jumpstartexit,http://jumpstartyourexit.com,PRD,jumpstartyourexit.com,8.2,6.8.2,0.07762146,0.38595200,0.46357346,0.03719555,1.15306192,229,7108,
everneu,Jumpstart Your Exit,false,false,jumpstartstag,http://jumpstartstag.wpenginepowered.com,STG,jumpstartstag.wpenginepowered.com,8.2,6.8.2,0.02263260,0.20538712,0.22801971,0.00022026,0.00682803,0,8,
everneu,Just Resolve,false,false,justresolve,http://justresolve.wpengine.com,PRD,justresolve.wpengine.com,7.4,6.8.2,0.22504425,1.25283432,1.47787857,0.00014892,0.00461642,0,9,Just Resolve
everneu,Just Resolve 2,false,false,justresolve2,http://justresolve2.wpengine.com,PRD,justresolve2.wpengine.com,7.4,6.8.2,0.23434830,1.17913437,1.41348267,0.00021626,0.00670408,0,8,Just Resolve
everneu,justresolve23,false,false,justresolv1dev,http://justresolv1dev.wpenginepowered.com,DEV,justresolv1dev.wpenginepowered.com,8.2,6.7.2,0.04561615,0.35338593,0.39900208,0.00052443,0.01625724,0,6,Just Resolve
everneu,justresolve23,false,false,justresolve23,http://justresolve.com,PRD,justresolve.com,8.2,6.8.2,0.05318451,1.09614182,1.14932632,0.08284631,2.56823567,242,7518,Just Resolve
everneu,justresolve23,false,false,justresolv1stg,http://justresolv1stg.wpengine.com,STG,justresolv1stg.wpengine.com,8.2,6.8.2,0.07049561,0.35041809,0.42091370,0.00000511,0.00015844,0,4,Just Resolve
everneu,justresolve mvp,false,false,justresolvemvp,http://justresolvemvp.wpenginepowered.com,PRD,justresolvemvp.wpenginepowered.com,8.2,6.8.2,0.01161194,0.10155106,0.11316299,0.00007845,0.00243188,60,1886,Just Resolve
everneu,justresolve mvp,false,false,justresolvestg,http://justresolvestg.wpengine.com,STG,justresolvestg.wpengine.com,8.2,6.8.2,0.01861572,0.17931747,0.19793320,0.00000655,0.00020301,0,4,Just Resolve
everneu,Kelly Moss,false,false,kellymossdev,http://kellymossdev.wpenginepowered.com,DEV,kellymossdev.wpenginepowered.com,8.2,6.8.2,0.82341766,9.42051315,10.24393082,0.10947339,3.39367514,3,103,
everneu,Kelly Moss,false,false,kellymoss,http://klub.kellymoss.com,PRD,klub.kellymoss.com,8.2,6.8.2,0.79986954,10.20656204,11.00643158,0.19512273,6.04880452,188,5839,
everneu,Kelly Moss,false,false,kellymossstg,http://kellymossstg.wpenginepowered.com,STG,kellymossstg.wpenginepowered.com,8.2,6.8.2,0.61842346,6.70970154,7.32812500,0.00153729,0.04765599,0,7,
everneu,lavish24,false,false,lavish24dev,http://lavish24dev.wpenginepowered.com,DEV,lavish24dev.wpenginepowered.com,8.2,6.8.2,0.29364777,0.99110031,1.28474808,0.00040845,0.01266207,0,6,
everneu,lavish24,false,false,lavish24,http://lavishforhome.com,PRD,lavishforhome.com,8.2,6.8.2,0.27570343,3.26526260,3.54096603,0.17171280,5.32309674,258,8003,
everneu,Lavish Legacy,false,false,lavishhomes,http://lavishhomes.wpenginepowered.com,PRD,lavishhomes.wpenginepowered.com,8.2,6.7.2,0.04782104,1.08648682,1.13430786,0.00094622,0.02933268,0,7,
everneu,Lions Mane Financial,false,false,lionsmanefinan,http://lionsmanefinan.wpengine.com,PRD,lionsmanefinan.wpengine.com,8.2,6.8.2,0.14112473,0.34763718,0.48876190,0.00004313,0.00133696,0,7,
everneu,logiflexinc,false,false,logiflexinc,http://logiflexinc.wpengine.com,PRD,logiflexinc.wpengine.com,8.2,6.7.2,0.03757095,0.22820663,0.26577759,0.00065215,0.02021662,66,2060,
